Date,Player,Opp,Shift_Count,Total_TOI,EV_TOI,PP_TOI,SH_TOI,Lineup,Score_For,Score_Against,Result,Goals,Assists,Points,+/-,SOG,Att_Blocked,Missed_Shots,Hits,Giveaways,Takeaways,Blocked_Shots,Faceoff_Won,Faceoff_Loss,Faceoff_Pct,xG,xG/60,Corsi_%,Fenwick_%,Rebounds_Created_Above_x,On-Ice Goal Dif,On-Ice xG Dif
11/13/24,Rakell,DET,25,21.88,19.33,2.55,0,12-6,2,3,OTL,0,0,0,1,2,4,2,3,1,0,0,0,0,,0.4,1.03,68.3,65.9,-0.3,1,1.2
11/13/24,Malkin,DET,23,21.6,18.38,3.22,0,12-6,2,3,OTL,0,0,0,-2,6,2,2,0,1,0,1,1,7,13,1.4,3.76,68.3,69.8,1.4,-2,1.7
11/13/24,Crosby,DET,25,21.85,18.58,3.27,0,12-6,2,3,OTL,0,1,1,1,6,0,3,0,1,0,0,12,15,44,0.7,1.83,70.5,68.9,0.5,1,2.1
11/11/24,Rakell,DAL,19,16.33,15.37,0.93,0.03,12-6,1,7,L,0,0,0,0,0,1,2,0,1,0,0,0,0,,0,0.13,48.5,44.4,-0.1,0,-0.2
11/11/24,Malkin,DAL,21,17.07,15.87,1.08,0.12,12-6,1,7,L,0,0,0,-2,2,1,1,1,0,1,1,4,5,44,0.1,0.43,53.8,50,-0.1,-2,-0.6
11/11/24,Crosby,DAL,21,17.98,16.87,1.08,0.03,12-6,1,7,L,0,0,0,-1,2,0,1,3,1,0,1,9,9,50,0.2,0.51,37.1,39.3,0.9,-1,-0.6
11/8/24,Rakell,WSH,27,20.17,18.18,1.98,0,12-6,4,2,W,0,0,0,0,3,2,2,0,1,0,1,0,0,,0.4,1.29,55.8,52.9,-0.2,0,-0.1
11/8/24,Malkin,WSH,22,18.58,16.13,2.45,0,12-6,4,2,W,1,1,2,2,3,3,1,1,3,0,0,2,2,50,0.4,1.38,65.9,62.5,-0.2,2,-0.1
11/8/24,Crosby,WSH,26,20.28,18.32,1.97,0,12-6,4,2,W,0,1,1,0,3,1,0,2,1,1,0,11,13,46,0,0.14,60.5,57.6,-0.1,0,0.2
11/7/24,Rakell,CAR,21,22,16.65,5.35,0,12-6,1,5,L,0,0,0,-1,5,1,1,2,0,1,0,0,0,,0.4,1.15,77.1,74.3,0.6,-1,0.9
11/7/24,Malkin,CAR,22,22.83,17.23,5.6,0,12-6,1,5,L,0,0,0,-1,4,2,3,1,1,0,1,0,0,,0.2,0.61,76.6,74.3,1.4,-1,0.9
11/7/24,Crosby,CAR,22,21.63,15.85,5.78,0,12-6,1,5,L,0,0,0,-1,4,3,1,2,1,0,0,14,13,52,0.5,1.3,76.1,74.3,0.7,-1,0.9
11/5/24,Rakell,NYI,24,21.77,16.57,5.2,0,12-6,3,4,SOL,0,2,2,0,2,1,2,1,1,0,0,0,0,,0.1,0.37,62.9,62.1,-0.2,1,0.6
11/5/24,Malkin,NYI,24,22.2,16.93,5.27,0,12-6,3,4,SOL,1,1,2,0,3,1,0,0,0,0,0,0,0,,0.7,2.02,64.9,64.5,0.8,1,0.9
11/5/24,Crosby,NYI,24,21.82,16.58,5.23,0,12-6,3,4,SOL,1,0,1,0,5,0,3,0,0,0,0,15,12,56,0.4,1.19,67.6,66.7,0.6,1,0.9
11/2/24,Rakell,MTL,23,17.85,15.83,2.02,0,12-6,3,1,W,0,1,1,1,1,2,0,2,0,0,1,0,0,,0.1,0.34,55.6,47.8,0,2,0.1
11/2/24,Malkin,MTL,23,19.28,16.88,2.4,0,12-6,3,1,W,0,0,0,1,2,3,0,0,2,0,1,0,0,,0,0.15,50,48,-0.1,2,-0.3
11/2/24,Crosby,MTL,24,20.03,17.92,2.12,0,12-6,3,1,W,2,0,2,1,3,3,1,0,0,1,0,13,8,62,0.3,0.86,50,45.8,-0.2,2,-0.4
10/31/24,Rakell,ANA,26,22.27,18.57,3.7,0,12-6,2,1,OTW,0,0,0,1,6,3,0,4,0,0,0,0,0,,0.6,1.6,68.3,67.4,0.6,1,2
10/31/24,Malkin,ANA,26,21.88,17.93,3.95,0,12-6,2,1,OTW,0,0,0,1,6,2,1,0,1,0,2,0,0,,0.9,2.57,68.3,70.5,-0.4,1,2.1
10/31/24,Crosby,ANA,27,22.52,19.2,3.5,0,12-6,2,1,OTW,2,0,2,2,6,2,1,0,2,0,1,15,6,71,0.8,2.03,66.7,66.7,1.6,2,2.1
10/29/24,Rakell,MIN,23,19.95,17.77,2.18,0,12-6,3,5,L,2,0,2,2,5,1,1,1,3,0,1,0,0,,0.5,1.5,63.2,57.1,-0.4,2,0.1
